front,back,topic,note
What does a fuse protect?,The wiring. It melts and breaks the circuit when current exceeds its rating.,Electricity / Safety,A fuse protects the cable from catching fire. It does not protect a person from shock.
What does an RCD (GFCI) protect against?,"Electric shock. It trips when the current going out and coming back differ, which means some is leaking — possibly through a person.",Electricity / Safety,
Why are metal enclosures connected to earth?,So that a fault energising the case blows the fuse or trips the RCD instead of waiting for someone to touch it.,Electricity / Safety,
"Why is current, not voltage, what harms a person?",Injury depends on the current through the body; around 30 mA across the chest can be fatal. Voltage matters only because it drives that current.,Electricity / Safety,
What determines how much current a cable can carry?,"Its cross-section, the temperature rating of the insulation, and how well the installation lets it cool.",Electricity / Safety,
Authentication vs authorisation?,Authentication establishes who you are. Authorisation decides what you may do. Authn always comes first.,Security / Authentication basics,
What makes something a genuine second factor?,"It comes from a different category: something you know, something you have, something you are. Two passwords are one factor used twice.",Security / Authentication basics,
Why are SMS codes the weakest common second factor?,The channel is attackable: SIM swapping and SS7 interception deliver the code to someone else.,Security / Authentication basics,
"What is session fixation, and what stops it?",An attacker plants a known session id before login. Stopped by issuing a fresh session id on every successful authentication.,Security / Authentication basics,
Session cookie vs bearer token — the operational difference?,"The browser sends a cookie automatically, so it needs CSRF protection. A token is attached deliberately by the client, so it needs safe storage.",Security / Authentication basics,
Which attributes harden a session cookie?,"HttpOnly keeps JavaScript out, Secure restricts it to HTTPS, SameSite limits cross-site sending.",Security / Authentication basics,
What is a passkey built on?,"Public-key cryptography. The private key never leaves the device, so there is no shared secret to phish, reuse or leak from a breach.",Security / Authentication basics,
What problem does OAuth 2.0 solve?,"Delegated authorisation: letting an application act on a resource with the user's consent, without ever seeing the user's password.",Security / OAuth and OIDC,
OAuth 2.0 vs OpenID Connect?,OAuth grants access. OIDC is a thin identity layer on top of it that adds authentication and the ID token.,Security / OAuth and OIDC,
Why does the authorisation code flow return a code instead of a token?,"The code travels through the browser, the token does not. Tokens are fetched over a back channel, so they never appear in a URL.",Security / OAuth and OIDC,
What is PKCE and what does it prevent?,"Proof Key for Code Exchange. The client commits to a secret up front and reveals it at redemption, so an intercepted authorisation code is useless to anyone else.",Security / OAuth and OIDC,
"In OAuth 2.1, which clients must use PKCE?","All of them. PKCE is mandatory for every authorisation code flow, confidential clients included — not just public ones.",Security / OAuth and OIDC,
Which OAuth 2.0 grants did OAuth 2.1 remove?,The implicit grant and the resource owner password credentials grant.,Security / OAuth and OIDC,
Why was the implicit flow removed?,"It returned access tokens in the URL fragment, where they leak into history, referrers and logs, and the client could not be authenticated.",Security / OAuth and OIDC,
Access token vs refresh token?,"The access token is short-lived and presented to APIs. The refresh token is long-lived, never sent to an API, and only exchanged with the authorisation server.",Security / OAuth and OIDC,
What is refresh token rotation?,"Each use issues a new refresh token and invalidates the old one. Reuse of a retired token signals theft, and the whole family is revoked.",Security / OAuth and OIDC,
What does a scope express?,"The limit of what a token may do. It describes permission, not identity.",Security / OAuth and OIDC,
What is the client credentials grant for?,"Machine-to-machine access, where the application authenticates as itself and no user is involved.",Security / OAuth and OIDC,
Why must redirect URIs be matched exactly?,Prefix or wildcard matching lets an attacker steer the authorisation code to a URL under their control.,Security / OAuth and OIDC,
What does a JWT signature guarantee — and what does it not?,It guarantees integrity and origin. It does not give confidentiality: anyone holding the token can read its payload.,Security / OAuth and OIDC,"Never put anything secret in a JWT payload. It is signed, not encrypted."
What is broken object level authorisation (IDOR)?,Accepting an object id from the caller without checking that the caller owns it. The most common serious API flaw.,Security / API security,
"Why must authorisation live on the server or in the database, not the UI?","The UI is bypassed by any other client — curl, a script, a modified app. A hidden button is not a permission.",Security / API security,
What is mass assignment?,"Binding request fields directly onto a model, letting the caller set fields they should never control, such as `is_admin` or `user_id`.",Security / API security,
What does CORS actually protect?,Nothing on the server. It tells the browser whether another origin's JavaScript may read the response. It is not access control.,Security / API security,
"What is CSRF, and what stops it?","A cross-site request that rides on the browser's cookies. Stopped by SameSite cookies, an anti-CSRF token, or not using cookies for the API at all.",Security / API security,
Why is rate limiting a security control and not just a cost control?,"It is what makes credential stuffing, brute force and enumeration too slow to be worth running.",Security / API security,
401 vs 403?,"401 means we do not know who you are. 403 means we know, and you still may not.",Security / API security,
Why should a login error not distinguish unknown user from wrong password?,That difference turns the login form into a user enumeration oracle.,Security / API security,
What actually prevents SQL injection?,"Parameterised queries, which keep data out of the parsed statement. Escaping and blacklists do not.",Security / API security,
What is SSRF?,"Persuading the server to fetch a URL the attacker chose, reaching internal services and cloud metadata endpoints that trust the caller's network position.",Security / API security,
Hashing vs encryption?,"Encryption is reversible with a key. Hashing is one-way: no key, no way back.",Security / Cryptography basics,
Why is SHA-256 the wrong choice for passwords?,"It is fast, which is precisely what an attacker guessing billions of candidates needs. Passwords need a slow salted KDF: argon2, scrypt or bcrypt.",Security / Cryptography basics,
"What is a salt, and what does it defeat?",A unique random value stored with each hash. It defeats precomputed rainbow tables and hides the fact that two users chose the same password.,Security / Cryptography basics,
Symmetric vs asymmetric encryption?,"Symmetric uses one shared key and is fast. Asymmetric uses a public/private pair, is slow, and solves the problem of distributing keys.",Security / Cryptography basics,
What does TLS actually guarantee?,"Confidentiality, integrity and server identity in transit. It says nothing about whether either endpoint deserves trust.",Security / Cryptography basics,
What is defence in depth?,"Designing each layer as if the one in front of it has already failed, so no single control carries the whole system.",Security / Cryptography basics,
What is least privilege?,"Every identity holds the minimum rights needed, for the shortest time. It limits the blast radius when something is compromised.",Security / Cryptography basics,
Name the six STRIDE threat categories.,"Spoofing, Tampering, Repudiation, Information disclosure, Denial of service, Elevation of privilege.",Security / Cryptography basics,
Why is deleting a leaked secret from the repository not enough?,"Git keeps history forever. The key is still retrievable from an earlier commit — it must be rotated, not merely removed.",Security / Cryptography basics,
What does 6DoF mean?,"Six degrees of freedom: three rotations (pitch, yaw, roll) plus three translations (x, y, z). The system tracks where you look and where you move.","XR, VR & AR / Spatial concepts",
3DoF vs 6DoF?,"3DoF tracks rotation only, so leaning or stepping changes nothing. 6DoF tracks position as well.","XR, VR & AR / Spatial concepts",
What is inside-out tracking?,"The headset works out its own pose from its own cameras, with no external base stations to install.","XR, VR & AR / Spatial concepts",
What is SLAM?,Simultaneous Localisation And Mapping: building a map of an unknown space while simultaneously working out your position within it.,"XR, VR & AR / Spatial concepts",
What is an anchor in AR?,"A pose pinned to the real world that content attaches to, so the content stays where it was put as tracking refines.","XR, VR & AR / Spatial concepts",
What is passthrough?,"Showing the real world through the headset's cameras, which turns a VR device into a mixed-reality one.","XR, VR & AR / Spatial concepts",
VR vs AR vs MR?,VR replaces the world. AR overlays on it. MR lets virtual content react to real geometry.,"XR, VR & AR / Spatial concepts",
World space vs local space?,World space is the scene's shared origin. Local space is relative to a parent — a hand's position is local to the body and world to the room.,"XR, VR & AR / Spatial concepts",
What is the guardian or boundary?,"A play area the user draws, which the system warns them about as they approach its edge.","XR, VR & AR / Spatial concepts",
"What frame rate must VR hold, and why?","72–90 fps depending on the device. Below that, judder is visible and can trigger sickness within seconds.","XR, VR & AR / Comfort and safety","This is a floor, not a target. A dropped frame is felt, not just seen."
"What is motion-to-photon latency, and what is the budget?",The delay from head movement to the matching pixels reaching the eye. Beyond roughly 20 ms it becomes uncomfortable.,"XR, VR & AR / Comfort and safety",
"What is vection, and why does it cause sickness?","A visually induced sense of self-motion. The eyes report movement the inner ear does not, and the conflict causes nausea.","XR, VR & AR / Comfort and safety",
Which locomotion method is most comfortable for newcomers?,Teleportation. It removes the accelerating visual motion that drives the sensory conflict.,"XR, VR & AR / Comfort and safety",
What does a vignette during movement do?,"It narrows the field of view while moving, cutting peripheral optical flow — the strongest driver of vection.","XR, VR & AR / Comfort and safety",
Why does a static reference such as a cockpit help?,It gives the visual system a fixed frame that agrees with the body's report of sitting still.,"XR, VR & AR / Comfort and safety",
Why should the camera never move without user input?,Taking control of someone's head is the fastest route to sickness and to losing their sense of agency. Never rotate the view for them.,"XR, VR & AR / Comfort and safety",
Why avoid placing text at the edge of the field of view?,"Clarity falls off toward the lens edge, so reading there means eye strain instead of a natural head turn.","XR, VR & AR / Comfort and safety",
Direct interaction vs ray interaction — when to use each?,Direct touch for anything within arm's reach. A ray for anything further away.,"XR, VR & AR / Interaction",
Why does comfortable UI sit roughly 1–2 m away?,Closer forces uncomfortable eye convergence; further makes targets too small to hit reliably.,"XR, VR & AR / Interaction",
What is the vergence–accommodation conflict?,The eyes converge at the virtual object's distance but focus on the fixed display plane. The mismatch tires the eyes over time.,"XR, VR & AR / Interaction",
Why is gaze alone a poor way to confirm an action?,Eyes wander constantly. Gaze can select; confirmation needs a deliberate separate act such as a pinch or a click.,"XR, VR & AR / Interaction",
What replaces the hover state in XR?,"Proximity highlighting: the object reacts as a hand or ray approaches, because there is no cursor resting on it.","XR, VR & AR / Interaction",
Why does haptic feedback matter more in XR than on a screen?,"Hands pass straight through virtual objects, so a pulse is the only confirmation that contact happened at all.","XR, VR & AR / Interaction",
What is a workable minimum target size in XR?,"Around 2° of visual angle for gaze or ray input, and larger for direct touch — precision falls off with distance and hand tremor.","XR, VR & AR / Interaction",
What is WebXR?,"The browser API for VR and AR: choosing the output device, reporting poses and input, and rendering to the headset at its frame rate.","XR, VR & AR / Development",
Why is the draw-call budget tighter in VR than on a flat screen?,"Every frame is rendered twice, once per eye, at a high frame rate that cannot be missed.","XR, VR & AR / Development",
What is foveated rendering?,"Rendering at full resolution only where the eye is looking, or where the lens is sharpest, and lowering it everywhere else.","XR, VR & AR / Development",
What is reprojection (timewarp)?,"Re-projecting the last rendered frame onto the newest head pose when a frame is missed, so latency stays low even when rendering stutters.","XR, VR & AR / Development",
Why test a room-scale app both standing and seated?,"Content placed at standing height is unreachable or wrongly angled when seated, and many users cannot stand.","XR, VR & AR / Development",
What are degrees of freedom in a robot arm?,The number of independent joints. Six is the minimum needed to reach any position and any orientation in 3D space.,Robotics / Kinematics,
Forward vs inverse kinematics?,Forward maps joint angles to the end-effector pose. Inverse maps a desired pose back to joint angles — the hard direction.,Robotics / Kinematics,
Why can inverse kinematics have several solutions?,Different joint configurations reach the same point: elbow up and elbow down are both valid.,Robotics / Kinematics,
What is the end effector?,"The tool at the end of the arm — gripper, welder, sensor. Positioning it is why the rest of the robot exists.",Robotics / Kinematics,
Revolute vs prismatic joint?,A revolute joint rotates; a prismatic joint slides. Most industrial arms are built from revolute joints.,Robotics / Kinematics,
What is a manipulator's workspace?,"The set of poses the end effector can actually reach, bounded by link lengths and joint limits.",Robotics / Kinematics,
What is a singularity?,"A configuration where the arm loses a degree of freedom, and joint speeds required for a finite tool speed rise toward infinity.",Robotics / Kinematics,Near a singularity a slow tool movement can demand a violent joint movement. Planners avoid these regions deliberately.
Proprioceptive vs exteroceptive sensors?,"Proprioceptive sensors measure the robot's own state (encoders, IMU). Exteroceptive sensors measure the world (camera, lidar, sonar).",Robotics / Sensors,
What does an encoder measure?,"Rotation of a joint or wheel — position directly, and speed by differentiating it.",Robotics / Sensors,
"What does an IMU contain, and why does its position estimate drift?","Accelerometers and gyroscopes. Position comes from integrating noisy acceleration twice, so the error grows without bound.",Robotics / Sensors,
How does lidar measure distance?,By the time of flight of emitted light. Scanning builds a point cloud of the surroundings.,Robotics / Sensors,
"What is sensor fusion, and why is it needed?","Combining sensors so their weaknesses cancel: an IMU is fast but drifts, GPS is slow but absolute.",Robotics / Sensors,
"What is odometry, and what is its weakness?","Estimating position from wheel or joint motion. Wheels slip, errors accumulate, and nothing in odometry itself corrects them.",Robotics / Sensors,
Open-loop vs closed-loop control?,Open loop issues a command and hopes. Closed loop measures the result and corrects from the error.,Robotics / Control,
What does each term of a PID controller do?,"P responds to the present error, I removes accumulated steady-state error, D damps how fast the error is changing.",Robotics / Control,
What happens when the P gain is too high?,Overshoot and oscillation: the controller reacts too strongly to the error.,Robotics / Control,
Why is the D term sensitive to noise?,"It differentiates the error signal, and differentiation amplifies high-frequency noise.",Robotics / Control,
What is integral windup?,"The I term keeps accumulating while the actuator is already saturated, so the controller overshoots badly once it can act again.",Robotics / Control,
Servo vs stepper motor?,A servo has feedback and corrects itself to the commanded position. A stepper moves in fixed steps open-loop and can lose them silently.,Robotics / Control,
Why does control loop rate matter?,"It sets how often the controller can notice and correct. Too slow, and every correction answers a world that has already moved on.",Robotics / Control,
What does ROS provide?,"Middleware for robot software: message passing between nodes over topics and services, plus tooling and a large set of common packages.",Robotics / Navigation and software,
What is a topic in ROS?,"A named channel where publishers post messages and subscribers receive them, without either side knowing the other.",Robotics / Navigation and software,
Path planning vs motion planning?,Path planning finds a route through space. Motion planning adds the robot's dynamics and constraints so the route can actually be executed.,Robotics / Navigation and software,
What is a costmap?,"A grid where each cell carries a traversal cost, letting the planner avoid obstacles and keep a safety margin around them.",Robotics / Navigation and software,
Why simulate before running on hardware?,"A bug that costs a crash and a repair on real hardware costs a reset in simulation, and tests can run faster than real time.",Robotics / Navigation and software,
What is a collaborative robot?,"A robot designed to work beside people without a cage, by limiting force, speed and contact pressure.",Robotics / Safety,
Which standards govern industrial robot safety?,"ISO 10218 for the robot and its cell, and ISO/TS 15066 for collaborative operation.",Robotics / Safety,
Why must an emergency stop be hardwired?,It has to work when the software has hung or crashed — which is exactly the situation it exists for.,Robotics / Safety,A stop that depends on the program running is not a safety function.
What is a safety-rated monitored stop?,"The robot holds its position with power on and drives enabled, resuming only once the person has left. Different from cutting power entirely.",Robotics / Safety,
